Ticker,Company,Sector,Region,Manual_Rating,Default_Event,ReportDate,Year,TotalAssets,TotalLiabilities,TotalEquity,TotalDebt,Cash,Revenue,EBITDA,EBIT,NetIncome,InterestExpense,OperatingCashFlow,MarketCap,SharePrice,Return_1Y,Volatility_1Y
AAPL,Apple Inc.,Technology,US,AA+,0,2021-09-30,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2645000000.0,0.0,0.0,139.6914520263672,0.24124555454470276,0.27992803593299176
AAPL,Apple Inc.,Technology,US,AA+,0,2022-09-30,2022,352755000000.0,302083000000.0,50672000000.0,132480000000.0,23646000000.0,394328000000.0,130541000000.0,119437000000.0,99803000000.0,2931000000.0,122151000000.0,2234152466376.114,140.13002014160156,0.012568400423790704,0.3184678221980702
AAPL,Apple Inc.,Technology,US,AA+,0,2023-09-30,2023,352583000000.0,290437000000.0,62146000000.0,111088000000.0,29965000000.0,383285000000.0,125820000000.0,114301000000.0,96995000000.0,3933000000.0,110543000000.0,2633948183441.4673,169.38507080078125,0.2462062278541095,0.2757814556605049
AAPL,Apple Inc.,Technology,US,AA+,0,2024-09-30,2024,364980000000.0,308030000000.0,56950000000.0,106629000000.0,29943000000.0,391035000000.0,134661000000.0,123216000000.0,93736000000.0,0.0,118254000000.0,3424181308865.7827,226.51516723632807,0.3177302466484857,0.22252841781485214
AAPL,Apple Inc.,Technology,US,AA+,0,2025-09-30,2025,359241000000.0,285508000000.0,73733000000.0,98657000000.0,35934000000.0,416161000000.0,144748000000.0,133050000000.0,112010000000.0,0.0,111482000000.0,3709040893617.5527,251.06448364257807,0.08359424202329313,0.17801434862221838
MSFT,Microsoft,Technology,US,AAA,0,2021-06-30,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.6216125488281,0.3465080749015621,0.26671688863506593
MSFT,Microsoft,Technology,US,AAA,0,2022-06-30,2022,364840000000.0,198298000000.0,166542000000.0,61270000000.0,13931000000.0,198270000000.0,100239000000.0,85779000000.0,72738000000.0,2063000000.0,89035000000.0,1887881310058.5935,252.93157958984372,-0.03143149567688375,0.2864486620301926
MSFT,Microsoft,Technology,US,AAA,0,2023-06-30,2023,411976000000.0,205753000000.0,206223000000.0,59965000000.0,34704000000.0,211915000000.0,105140000000.0,91279000000.0,72361000000.0,1968000000.0,87582000000.0,2443366846435.547,328.7630310058594,0.31716937088327524,0.32225581706863143
MSFT,Microsoft,Technology,US,AAA,0,2024-06-30,2024,512163000000.0,243686000000.0,268477000000.0,67127000000.0,18315000000.0,245122000000.0,133009000000.0,110722000000.0,88136000000.0,2935000000.0,118548000000.0,3285845816270.623,441.994140625,0.3327209842171648,0.20141535505230895
MSFT,Microsoft,Technology,US,AAA,0,2025-06-30,2025,619003000000.0,275524000000.0,343479000000.0,60588000000.0,30242000000.0,281724000000.0,160165000000.0,126012000000.0,101832000000.0,2385000000.0,136162000000.0,3135059229309.082,421.7190246582031,-0.06630276573625926,0.20702538645273885
GOOGL,Alphabet,Technology,US,AA+,0,2020-12-31,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.21784973144531,0.2685578605488945,0.38551513398975223
