Feature,Coefficient
ROA,-2.2081578871949263
EBITDAMargin,1.8388529455167288
ROA_Lag1,1.7119444224854083
Slope_Leverage,-1.1333311615666875
CurrentRatio,1.1266763032155263
DE_Lag1,-1.1132218390030297
NetMargin,-1.0009346811706632
O_Score,0.9984463520385333
OCF_to_Debt,-0.7306665975680754
DebtToEquity,-0.48259260089507
Volatility_1Y,0.4152749192906507
Return_1Y,-0.34078453048041674
ROE,0.29135773849329094
Z_Score,-0.2760540200604885
MarketCap_to_Assets,-0.2065899615993798
DebtToAssets,0.1678833512202992
InterestCoverage,-0.04270385998193082
